config_id,n_components,n_init,max_iter,silhouette,davies_bouldin,variance_explained,combined_score
1,6,20,300,0.43500431754750263,1.4045238984271895,0.9004823436475489,0.29455192770478367
2,6,20,500,0.43500431754750263,1.4045238984271895,0.9004823436475489,0.29455192770478367
3,6,20,1000,0.43500431754750263,1.4045238984271895,0.9004823436475489,0.29455192770478367
4,6,50,300,0.43500431754750263,1.4045238984271895,0.9004823436475489,0.29455192770478367
5,6,50,500,0.43500431754750263,1.4045238984271895,0.9004823436475489,0.29455192770478367
6,6,50,1000,0.43500431754750263,1.4045238984271895,0.9004823436475489,0.29455192770478367
7,6,100,300,0.42667670445185424,1.4300039092916321,0.9004823436475489,0.283676313522691
8,6,100,500,0.42667670445185424,1.4300039092916321,0.9004823436475489,0.283676313522691
9,6,100,1000,0.42667670445185424,1.4300039092916321,0.9004823436475489,0.283676313522691
10,8,20,300,0.40344111270517324,1.4623861326530303,0.975193793766932,0.2572024994398702
11,8,20,500,0.40344111270517324,1.4623861326530303,0.975193793766932,0.2572024994398702
12,8,20,1000,0.40344111270517324,1.4623861326530303,0.975193793766932,0.2572024994398702
13,8,50,300,0.40214177370596965,1.5450517679114288,0.975193793766932,0.24763659691482676
14,8,50,500,0.40214177370596965,1.5450517679114288,0.975193793766932,0.24763659691482676
15,8,50,1000,0.40214177370596965,1.5450517679114288,0.975193793766932,0.24763659691482676
16,8,100,300,0.40214177370596965,1.5450517679114288,0.975193793766932,0.24763659691482676
17,8,100,500,0.40214177370596965,1.5450517679114288,0.975193793766932,0.24763659691482676
18,8,100,1000,0.40214177370596965,1.5450517679114288,0.975193793766932,0.24763659691482676
19,10,20,300,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
20,10,20,500,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
21,10,20,1000,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
22,10,50,300,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
23,10,50,500,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
24,10,50,1000,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
25,10,100,300,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
26,10,100,500,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
27,10,100,1000,0.3964621467452963,1.6021766302583595,0.9997225842663378,0.23624448371946033
